,0,1,2,3,4,5,6,7,8
0,Faith Hill,Breathe,0.0,0.505116,0.0,0.0,0.504631,0.0,0.825165
1,Joe,I Wanna Know,0.0,0.0,0.522368,0.0,0.0,0.541052,0.0
2,Santana,Maria Maria,0.0,0.0,0.0,0.0,0.0,0.0,0.980717
3,Vertical Horizon,Everything You Want,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Toni Braxton,He Wasn't Man Enough,0.0,0.0,0.52287,0.631061,0.685489,0.0,0.79961
5,Rob Thomas,Smooth,0.0,0.0,0.628199,0.0,0.0,0.0,0.885229
6,Aaliyah,Try Again,0.0,0.0,0.0,0.0,0.0,0.0,0.877926
7,Matchbox Twenty,Bent,0.0,0.709686,0.0,0.0,0.0,0.0,0.730029
8,Lonestar,Amazed,0.0,0.0,0.593435,0.0,0.0,0.0,0.0
9,Destiny's Child,Say My Name,0.0,0.0,0.0,0.0,0.0,0.0,0.905191
10,Three Doors Down,Kryptonite,0.0,0.0,0.584601,0.0,0.0,0.0,0.550755
11,Madonna,Music,0.0,0.0,0.780786,0.0,0.0,0.0,0.723948
12,Destiny's Child,Jumpin' Jumpin',0.0,0.554612,0.604357,0.0,0.0,0.804653,0.0
13,Sisqo,Thong Song,0.0,0.0,0.598769,0.0,0.0,0.0,0.594536
14,Creed,Higher,0.0,0.0,0.537059,0.0,0.0,0.0,0.0
15,Pink,There You Go,0.0,0.0,0.553833,0.674589,0.0,0.0,0.739689
16,Marc Anthony,You Sang To Me,0.0,0.0,0.0,0.668243,0.0,0.0,0.755899
17,Sonique,It Feels So Good,0.0,0.0,0.924102,0.0,0.0,0.561617,0.0
18,Creed,With Arms Wide Open,0.0,0.0,0.779978,0.0,0.0,0.0,0.660659
19,Janet Jackson,Doesn't Really Matter,0.0,0.0,0.0,0.0,0.0,0.0,0.724455
20,Nelly,(Hot Shit) Country Grammar,0.0,0.0,0.523838,0.0,0.0,0.0,0.0
21,Macy Gray,I Try,0.0,0.0,0.0,0.0,0.0,0.0,0.980717
22,Savage Garden,I Knew I Loved You,0.0,0.0,0.0,0.0,0.847466,0.0,0.654039
23,NSYNC,Bye Bye Bye,0.663101,0.0,0.0,0.0,0.0,0.0,0.794832
24,NSYNC,It's Gonna Be Me,0.0,0.0,0.785929,0.0,0.0,0.0,0.855046
25,Sisqo,Incomplete,0.0,0.0,0.0,0.0,0.0,0.0,0.579278
26,Christina Aguilera,What A Girl Wants,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Montell Jordan,Get It On Tonite,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Backstreet Boys,Show Me The Meaning Of Being Lonely,0.0,0.0,0.0,0.790888,0.0,0.0,0.0
29,Faith Hill,The Way You Love Me,0.0,0.0,0.794312,0.0,0.0,0.0,0.926055
30,Ruff Endz,No More,0.525409,0.0,0.633368,0.516568,0.0,0.0,0.710664
31,Christina Aguilera,Come On Over Baby (All I Want Is You),0.0,0.0,0.0,0.0,0.0,0.889008,0.0
32,Eminem,The Real Slim Shady,0.531088,0.0,0.0,0.0,0.0,0.0,0.640032
33,Enrique Iglesias,Be With You,0.0,0.0,0.0,0.0,0.0,0.0,0.785252
34,BBMak,Back Here,0.0,0.0,0.668864,0.61355,0.0,0.0,0.0
35,Celine Dion,That's The Way It Is,0.0,0.0,0.833144,0.0,0.0,0.0,0.0
36,Nine Days,Absolutely (Story Of A Girl),0.0,0.0,0.0,0.649841,0.0,0.721986,0.0
37,Sting,Desert Rose,0.0,0.0,0.638468,0.0,0.0,0.507373,0.0
38,Britney Spears,Oops!... I Did It Again,0.0,0.0,0.677506,0.0,0.0,0.0,0.578397
39,Pink,Most Girls,0.0,0.0,0.65577,0.0,0.0,0.0,0.603267
40,Marc Anthony,I Need To Know,0.0,0.0,0.0,0.0,0.826937,0.619903,0.0
41,Destiny's Child,Independent Women,0.0,0.0,0.0,0.55544,0.578033,0.0,0.0
42,Brian McKnight,Back At One,0.0,0.0,0.620184,0.0,0.0,0.0,0.0
43,Christina Aguilera,I Turn To You,0.0,0.0,0.556709,0.0,0.0,0.60167,0.0
44,blink-182,All The Small Things,0.0,0.0,0.558527,0.0,0.0,0.784724,0.0
45,Samantha Mumba,Gotta Tell You,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Mya,Case Of The Ex (Whatcha Gonna Do),0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Bon Jovi,It's My Life,0.0,0.0,0.0,0.509713,0.0,0.0,0.880416
48,LeAnn Rimes,I Need You,0.0,0.0,0.675779,0.0,0.0,0.0,0.855601
49,Blaque,Bring It All To Me,0.0,0.0,0.745425,0.0,0.0,0.603487,0.0
50,Mariah Carey,Thank God I Found You,0.0,0.0,0.647307,0.0,0.0,0.88831,0.0
51,Jagged Edge,Let's Get Married,0.0,0.0,0.0,0.0,0.552831,0.0,0.655183
52,Third Eye Blind,Never Let You Go,0.0,0.0,0.0,0.0,0.618178,0.0,0.538459
53,Next,Wifey,0.0,0.0,0.833119,0.0,0.0,0.0,0.846076
54,Mary Mary,Shackles (Praise You),0.0,0.0,0.0,0.586662,0.0,0.0,0.805132
55,Eiffel 65,Blue (Da Ba Dee),0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Red Hot Chili Peppers,Otherside,0.0,0.0,0.0,0.526307,0.0,0.0,0.0
57, 98°,Give Me Just One Night,0.0,0.0,0.67738,0.0,0.0,0.0,0.821473
58,Everclear,Wonderful,0.0,0.0,0.0,0.684898,0.0,0.0,0.666669
