Artist,Title,Link,Lyrics,Theme
Within Temptation,And We Run,/w/within+temptation/and+we+run_21076802.html,"It burns into your heart, the darkness that you fear  
You were never free, and you never realized  
And love, is a word you've never heard  
Your heart is cold cause it burns, the desire to leave the mind  
  
Take your breath til nothing's left  
Stars of life upon your chest  
And I know you wherever you go  
  
And we run and we don't look back  
And we run til we've had enough  
And we run, tell me how to run  
And we run, til we break down  
And we run til we fall apart  
And we run til we've had enough  
  
Don't blink, you'll miss it  
Lift up your head. We gotta get gone  
Yeah, we outta here  
Don't blink, you'll miss it  
Lift up your head  
Too late, we gone  
Yeah, we outta here  
  
And we run, for this killing love  
And we run, tell me how it's enough  
And we run, far ahead we go  
  
I'ma break these chains, ran through the rain  
Never looked back, never quit, worked through the pain  
This blood in my veins run cold when I hate  
Give enough to keep sane but I never lose hope  
This is my time now, no time for tears to celebrate  
Put it in the air right now  
Never back down, you'll never wear my crown  
cause it weighs too much and I crush every motherfucking thing I touch  
This is what I've never loved so much  
Get involved what's the worst stand up  
Here my mic before I ever get far  
Man in lights, you lost all my trust  
Now it's time to face all of us  
Get in line just to spar with us  
And it feels so far from us, just take my hand and run  
  
And we run, for this killing love  
And we run, tell me how it's enough  
And we run, til we never don  
And we run til we fall apart  
And we run, til it's enough  
  
Yeah, we out of here  
  
Don't blink, you'll miss it  
Lift up your head  
We gotta get gone  
Yeah, we outta here  
Don't blink, you'll miss it  
Lift up your head  
Too late, we gone  
Yeah, we outta here  
  
And we run, for this killing love  
And we run, tell me how it's enough  
And we run, til we never don  
And we run til we fall apart  
And we run, til it's enough  
  
Don't blink, you'll miss it  
Lift up your head  
We gotta get gone  
Yeah, we outta here  
Don't blink, you'll miss it  
Lift up your head  
Too late, we gone  
Yeah, we outta here

",
Within Temptation,Candles,/w/within+temptation/candles_10188442.html,"Take away,  
these hands of darkness.  
Reaching for my soul.  
Now, the cold wind  
blows out my candles.  
Feeling,  
only fear,  
without any hope.  
  
A thousand dark moons.  
A thousand winters long.  
A million fallen stars,  
the candle burns in the womb  
  
We try not to forget,  
they live through us.  
Slowly they die away at every candle's end  
  
A thousand dark moons,  
A thousand winters long.  
A million fallen stars,  
the candle burns in the womb.  
  
We try not to forget,  
They live through us  
Slowly they die away at every candle's end.

",
Within Temptation,Dark Wings,/w/within+temptation/dark+wings_10188450.html,"Why was I one of the chosen ones  
Until the fight I could not see  
The magic and the strength of my power  
It was beyond my wildest dreams  
  
Dark wings they are descending  
See shadows gathering around  
One by one they are falling  
Every time they try to strike us down  
  
Don't you die on me  
You haven't made your peace  
Live life, breathe, breathe  
Don't you die on me  
You haven't made your peace  
Live life, breathe, breathe  
  
Dark wings they are descending  
See shadows gathering around  
One by one they are falling  
Every time they try to strike us down  
  
(Ah...)  
  
As they took your soul away  
The night turned into the day  
Blinded by your rays of life  
Gave us the strength we needed  
  
Dark wings they are descending  
See shadows gathering around  
One by one they are falling  
Every time they try to strike us down  
Dark wings they are descending  
See shadows gathering around  
One by one they are falling  
Every time they try to strike us down

",
Within Temptation,Deceiver Of Fools,/w/within+temptation/deceiver+of+fools_20180058.html,"He feeds on fear  
He feeds on hate  
He rules again  
With growing hate  
He will gain their faith again  
Light in the darkness is too small to see  
There's always a sparkle of hope  
If you just believe  
  
He told the tale so many times  
About the dream not meant to be  
In the world of the free  
He plays with your mind  
As faith for the future faded fast  
He grows strong with their displeasure  
It sets him free  
  
Deceiver of hearts  
Deceiver of fools  
He rules with fear  
Deceiver of hearts  
Deceiver of fools  
He rules again  
  
He feeds on fear  
Poisons the truth  
To gain their faith  
To lead the way  
To a world of decay  
  
He rules your heart  
He will sell your soul to the grave  
Without a hesitation to make  
He belongs to the dark  
  
Please awake  
And see the truth  
He can only be  
If you believe what he tells you  
Remember who you are  
What you stand for  
And there will always be a way  
  
In my heart there is a place  
In my heart there is a trace  
Of a small fire burning  
A sheltering ray shines through this night  
Although it's small, it's bright  
But darkness is lurking  
He will sell your soul to bitterness and cold  
All fear him  
  
Deceiver of hearts  
Deceiver of fools  
He rules with fear  
Deceiver of hearts  
Deceiver of fools  
Shall he rule again?

",
Within Temptation,Destroyed,/w/within+temptation/destroyed_20190702.html,"I did my best to please you  
But my best was never good enough  
Somehow you're only able to see  
All I am not  
Did you ever look behind?  
Aren't you afraid of the pieces you'll find?  
I have failed you  
But you have failed me too  
It's so easy to destroy and condemn  
The ones you do not understand  
Do you ever wonder if it's justified?  
It's so easy to destroy and condemn  
The ones you do not understand  
In your life, why didn't you ever try?  
I close my eyes as I walk the thin line  
Between love and hate  
For the person with the same blood  
In his veins  
You show no regrets  
About all the things you did or said  
I have failed you  
But believe me you failed me too  
It's so easy to destroy and condemn  
The ones you do not understand  
Do you ever wonder if it's justified?  
It's so easy to destroy and condemn  
The ones you do not understand  
In your life, why didn't you ever try?  
It's so easy to destroy and condemn  
The ones you do not understand  
Do you ever wonder if it's justified?  
It's so easy to destroy and condemn  
The ones you do not understand  
Do you ever wonder if it's justified?  

",
Within Temptation,Dirty Dancer,/w/within+temptation/dirty+dancer_21073984.html,"She's a dirty, dirty dancer, dirty, dirty dancer  
  
'Nother day, 'nother night  
And she acting like she don't sleep  
She's a five when she drinks  
But she's a ten when she's on top of him  
  
She don't want love she just wanna touch  
She's a greedy girl to never get enough  
She don't wanna love she just wanna touch  
She's got all the moves that make you get it up  
  
She's a dirty, dirty dancer, dirty, dirty dancer  
Never ever lonely  
  
She's a dirty, dirty dancer, dirty, dirty dancer  
You'll never be her only  
  
She's a dirty, dirty dancer, dirty, dirty dancer  
Never ever lonely  
She's a dirty, dirty dancer, dirty, dirty dancer  
You'll never be her only  
  
It's a game that she plays  
She can win with her eyes closed  
It's insane how she tames  
She can turn you to an animal  
  
She don't want love she just wanna touch  
She's a greedy girl to never get enough  
She don't wanna love she just wanna touch  
She's got all the moves that make you give it up  
  
She's a dirty, dirty dancer, dirty, dirty dancer  
Never ever lonely  
  
She's a dirty, dirty dancer, dirty, dirty dancer  
You'll never be her only  
  
She's a dirty, dirty dancer, dirty, dirty dancer  
Never ever lonely  
She's a dirty, dirty dancer, dirty, dirty dancer  
You'll never be her only  
  
The girl don't stop  
Dirty dancer  
The girl don't stop  
The girl don't stop  
Dirty dancer  
The girl don't stop  
The girl don't stop  
Dirty dancer  
The girl don't stop  
The girl don't stop

",
Within Temptation,Edge Of The World,/w/within+temptation/edge+of+the+world_21076803.html,"Can I swallow the soil  
Make it all beautiful?  
Can I carry it, carry it, carry it now?  
  
The truth can't bare the sunlight  
You're afraid for the day it does  
Hell when I told you so  
I got burn, burn, burned again  
  
Heaven forbid that my heart is forsaken  
Hope in the end truth prevails  
  
I'm gonna run to the edge of the world, run to the edge of the world  
Feel that I'm gonna get home if I try  
I'm gonna run to the edge of the world, run to the edge of the world  
Need to find my way home, home  
  
He earns fire as a god  
But I believed in your heart  
And I'm leaving you, leaving you, leaving you now  
  
The truth can't bare the sunlight  
And don't pretend to be my guide  
Heard you said you'd change it over  
But I got burn, burn, burned instead  
  
Heaven can wait cause my soul is forsaken  
Hope in the end truth prevails  
  
I'm gonna run to the edge of the world, run to the edge of the world  
Feel that I'm gonna get home if I try  
I'm gonna run to the edge of the world, run to the edge of the world  
Need to find my way home, home  
  
Just to fall out, no more rain  
Once upon a time

",
Within Temptation,Enter,/w/within+temptation/enter_10188436.html,"The gates of time have opened  
Now, its chains are broken  
An ancient force unleashed again  
As I enter the portal I feel the enchantment  
It takes me away, away from here  
  
Come near me,  
Enter my private chambers  
I want to feel the warmth on my face,  
Light-in darkness, lift me up from here  
Give me your wings,  
To flee from my ivory tower  
  
As I enter the portal  
I feel the enchantment  
The stars above are lying at my feet  
  
Come near me,  
Enter my private chambers  
I want to feel the warmth on my face,  
Light in darkness, lift me up from here  
Give me your wings,  
To flee from my ivory tower

",
Within Temptation,Final Destination,/w/within+temptation/final+destination_20598930.html,"I escaped my final moment  
But it's turning back at me  
On every corner I can feel it waiting  
Just a moment, no awareness  
I could easily slip away  
And then I'll be gone forever  
  
I'm searching,  
I'm fighting for a way to get through  
To turn it away  
  
It's waiting, always trying  
I feel the hands of fate, they're suffocating  
Tell me what's the reason  
Is it all inside my head  
Can't take it no more!  
  
All around me I see danger  
And it's closing in on me  
Every second I can hear it breathing  
I can't stand the fear inside me  
Cause it's leading me astray  
And it will be my ending  
  
I'm searching  
I'm fighting for a way to get through  
To turn it away  
  
It's waiting, always trying  
I feel the hands of fate, they're suffocating  
Tell me what's the reason  
Is it all inside my head  
Can't take it no more!  
  
But no one faced what's coming my way  
And I will let my fear fade away  
Whatever may be, I'll have to find out  
  
It's waiting, always trying  
I feel the hands of fate, they're suffocating  
Tell me what's the reason  
Is it all inside my head  
Can't take it no more

",
Within Temptation,Fire and Ice,/w/within+temptation/fire+and+ice_20906039.html,"Every word you're saying is a lie  
Run away my dear  
But every sign will say your heart is dead  
  
Bury all the memories  
Cover them with dirt  
Where's the love we once had  
Our destiny's unsure  
  
Why can't you see what we had  
Let the fire burn the ice  
Where's the love we once had  
Is it all a lie?  
  
And I still wonder  
Why heaven has died  
The skies are all falling  
I'm breathing but why?  
In silence I hold on  
To you and I  
  
Closer to insanity  
Buries me alive  
  
Where's the life we once had  
It cannot be denied  
  
Why can't you see what we had  
Let the fire burn the ice  
Where's the love we once had  
Is it all a lie?  
  
And I still wonder  
Why heaven has died  
The skies are all falling  
I'm breathing but why?  
In silence I hold on  
To you and I  
  
You run away  
You hide away  
To the other side of the universe  
where you're safe from all that hunts you down  
But the world has gone  
Where you belong  
And it feels too late so you're moving on  
Can you find your way back home?  
  
And I still wonder  
Why heaven has died  
The skies are all falling  
I'm breathing but why?  
In silence I hold on  
To you and I  
  
Every word you're saying is a lie.

",
