ARTIST,TITLE,
Van Halen,A Apolitical Blues,
Clint Black & Wynonna,A Bad Goodbye,
Clint Black & Wynonna,A Bad Goodbye,
Herb Alpert & The Tijuana Brass,A Banda,
Hurricane Chris,A Bay Bay,
The Tragically Hip,A Beautiful Thing,
Clint Black,A Better Man,
Elvis Presley,A Big Hunk O'Love,
Natalie MacMaster,A Blast,
Tom Jones,A Boy From Nowhere,
Johnny Cash,A Boy Named Sue,
Mike + The Mechanics,A Call to Arms,
Joni Mitchell,A Case of You,
Arctic Monkeys,A Certain Romance,
Sam Cooke,A Change Is Gonna Come,
Sheryl Crow,A Change Would Do You Good,
Sheryl Crow,A Change Would Do You Good,
Sheryl Crow,A Change Would Do You Good,
Amy Grant,A Christmas to Remember,
Cowboy Junkies,A Common Disaster,
Cowboy Junkies,A Common Disaster,
Vilayat Khan,A Cry From the Heart,
The Beatles,A Day in the Life,
David Usher,A Day in the Life [Chr Mix],
Aretha Franklin,A Deeper Love,
George Michael,A Different Corner,
Peter Gabriel,A Different Drum,
Pet Shop Boys,A Different Point of View,
The Killers,A Dustland Fairytale,
Asia,A Far Cry,
Rush,A Farewell to Kings,
High Valley,A Father's Love (The Only Way He Knew),
Frank Sinatra,A Fella With an Umbrella,
Walter Murphy,A Fifth of Beethoven,
Walter Murphy,A Fifth of Beethoven,
Trans-Siberian Orchestra,A Final Dream,
Leftfield,A Final Hit,
Fountains of Wayne,A Fine Day For A Parade,
Kirsty Hawkshaw,A Fine Day,
Kirsty Hawkshaw,A Fine Day [Mike Koglin 12'' Mix],
Frank Sinatra,A Fine Romance,
The Simpsons,A Fish Called Selma Medley,
Michael Buble,A Foggy Day (In London Town),
Frank Sinatra,A Foggy Day,
Blank & Jones Featuring Robert Smith,A Forest [Club Mix],
Blank & Jones Featuring Robert Smith,A Forest [Short Cut],
The Cure,A Forest,
The Cure,A Forest,
The Cure,A Forest [Acoustic],
Pete Townshend,A Friend Is a Friend,
The Hives,A Get Together to Tear It Apart,
Romeo Void,A Girl in Trouble (Is a Temporary Thing) [Dance Mix],
Romeo Void,A Girl in Trouble (Is a Temporary Thing),
Lucas Prata Featuring Jeannie Ortega,A Girl Like That [Giuseppe D Radio Edit],
Edwyn Collins,A Girl Like You,
Edwyn Collins,A Girl Like You,
The Smithereens,A Girl Like You,
Feargal Sharkey,A Good Heart,
Emerson Drive,A Good Man,
Clint Black,A Good Run of Bad Luck,
Pink Floyd,A Great Day for Freedom,
The Beatles,A Hard Day's Night,
The Beatles,A Hard Day's Night,
Simon & Garfunkel,A Hazy Shade of Winter,
Attila Fias & Robert Piltch,A Holly Jolly Christmas [Jazz Version],
Burl Ives,A Holly Jolly Christmas,
America,A Horse With No Name,
Glee Cast,A House Is Not A Home,
Nat King Cole,A House With Love in It,
Mychael Danna,A Jewel of the Gutter,
Queen,A Kind of Magic,
Queen,A Kind of Magic,
Flight Of The Conchords,A Kiss Is Not a Contract,
Louis Armstrong,A Kiss to Build a Dream On,
The Benedictine Monks Of Santo Domingo De Silos,A Kyrie Xi,
Musica Intima,A la claire fontaine [arr. Stephen Smith],
Trans-Siberian Orchestra,A Last Illusion,
The Fixx,A Letter to Both Sides,
The Cure,A Letter to Elise,
Glass Tiger,A Lifetime of Moments,
John August,A Light Flickers Inside,
The Monkees,"A Little Bit Me, A Little Bit You",
911,A Little Bit More,
Jocelyn Enriquez,A Little Bit of Ecstasy,
Jocelyn Enriquez,A Little Bit of Ecstasy,
RuPaul,A Little Bit of Love,
The Jarmels,A Little Bit of Soap,
Sara Evans,A Little Bit Stronger,
David Wilcox,A Little Chunk of You,
Tony Bishop Featuring Striger,A Little Closer [Extended Edit],
Bavarian Beersingers,A Little Hunting Song,
Pete Townshend,A Little Is Enough,
Elvis Presley,A Little Less Conversation [Jxl Radio Edit Remix],
Elvis Presley vs. JXL,A Little Less Conversation,
Elvis Presley vs. JXL,A Little Less Conversation [Radio Edit],
Elvis Presley vs. JXL,A Little Less Conversation,
Fall Out Boy,"A Little Less Sixteen Candles, a Little More Touch Me",
Toby Keith,A Little Less Talk And a Lot More Action,
Corey Hart,A Little Love,
Easton Corbin,A Little More Country,
*NSYNC,A Little More Time on You,
Kira Isabella,A Little More Work,
Erasure,A Little Respect,
Erasure,A Little Respect,
Erasure,A Little Respect,
The Beautiful South,A Little Time,
The Beautiful South,A Little Time,
Toby Keith,A Little Too Late,
Paul Carrack,A Little Unkind,
Counting Crows,A Long December,
Counting Crows,A Long December,
Nancy Wilson,A Lot of Livin' to Do,
John Mann,A Lot To Learn,
Michael Bolton,A Love So Beautiful,
Renee Olstead,A Love That Will Last,
Boston,A Man I'll Never Be,
Jack-N-House,A Man With a Horn,
Ray Anthony,A Marshmallow World,
Billy Joel,A Matter of Trust,
Billy Joel,A Matter of Trust [Live],
Natalie Cole,A Medley Of: For Sentimental Reasons & Tenderly & Autumn Leaves,
Gipsy Kings,A Mi Manera (Comme D'Habitude),
The New Main Street Singers,A Mighty Wind,
Big Wreck,A Million Days,
Spacekid,A Million Potsies,
Max Webster,A Million Vacations,
Lil Wayne,A Milli,
Billy Joel,A Minor Variation,
Kelly Clarkson,A Moment Like This,
The Starlite Singers,A Moment Like This [Cover],
"Harry Connick, Jr.",A Moment With Me,
George Michael,A Moment With You,
The Herbaliser,A Mother (For Your Mind),
Counting Crows,A Murder of One,
Aretha Franklin,A Natural Woman (You Make Me Feel Like),
Celine Dion,A New Day Has Come,
Jethro Tull,A New Day Yesterday,
Pink Floyd,A New Machine (Part 1),
Pink Floyd,A New Machine (Part 2),
The Cure,A Night Like This,
Tomi Swick,A Night Like This,
Generation Disco,A Night to Remember,
Carol Welsman,A Nightingale Sang in Berkeley Square,
Charles Bernstein,A Nightmare on Elm Street,
Rush,A Passage to Bangkok [Live],
Jethro Tull,A Passion Play Edit #8,
Jethro Tull,A Passion Play Edit #9,
The Engine Room,A Perfect Lie [Gabriel & Dresden Remix],
Pink Floyd,A Pillow of Winds,
Disney Cast,A Pirate's Life (From Peter Pan),
Sam & Dave,A Place Nobody Can Find,
Delerium,A Poem For Byzantium,
Jessica Simpson,A Public Affair,
Jessica Simpson,A Public Affair [Johnny Budz Radio Mix],
Depeche Mode,A Question of Lust,
Depeche Mode,A Question of Lust,
Depeche Mode,A Question of Time,
Depeche Mode,A Question of Time,
The Gandharvas,A Quick Feel,
Denis Leary,A Reading from the Book of Apple,
Sara Evans,A Real Fine Place to Start,
CB Milton,A Real Love,
Aretha Franklin,A Rose Is Still a Rose,
Pink Floyd,A Saucerful of Secrets,
Van Morrison,A Sense of Wonder,
Jimmy Haskell,A Shot in the Dark,
Frank Sinatra,A Sinner Kissed an Angel,
Natalie Cole,A Smile Like Yours,
The Benedictine Monks Of Santo Domingo De Silos,A Solis Ortus Cardine,
The Gurleys,A Song for Dad,
Boyz II Men,A Song for Mama,
Boyz II Men,A Song for Mama,
Richard Ashcroft,A Song for the Lovers,
U2,A Sort of Homecoming,
Julie Andrews,A Spoonful of Sugar,
Michael Hutchence,A Straight Line,
Glenn Miller and His Orchestra,A String of Pearls,
Glenn Miller and His Orchestra,A String of Pearls,
Etta James,A Sunday Kind of Love,
Herb Alpert & The Tijuana Brass,A Taste of Honey,
Ed Sheeran,The A Team,
David Sanborn,A Tear for Crystal,
Dion & The Belmonts,A Teenager in Love,
H-Town,A Thin Line Between Love And Hate,
Dwight Yoakam,A Thousand Miles From Nowhere,
Dwight Yoakam,A Thousand Miles From Nowhere,
Vanessa Carlton,A Thousand Miles,
Vanessa Carlton,A Thousand Miles,
Savage Garden,A Thousand Words,
Mike + The Mechanics,A Time And Place,
Kids Chorus,A Tisket A Tasket,
Willa Ford Featuring Lady May,A Toast to Men [Edited Version With Intro],
Willa Ford Featuring Lady May,A Toast to Men [Johnny Budz Edited Radio Mix],
Duran Duran,A View to a Kill,
Duran Duran,A View to a Kill,
Duran Duran,A View to a Kill,
Jason Prince,A View to a Kill,
The Columbia Ballroom Orchestra,A Walk in the Black Forest,
Volbeat,A Warrior's Call,
Deep Blue Something,A Water Prayer,
The Kinks,A Well Respected Man,
Marty Robbins,A White Sport Coat,
Procol Harum,A Whiter Shade of Pale,
The Royal Philharmonic Orchestra,A Whiter Shade Of Pale,
Sarah Brightman,A Whiter Shade of Pale,
Peabo Bryson & Regina Belle,A Whole New World,
Peabo Bryson & Regina Belle,A Whole New World,
"Harry Connick, Jr.",A Wink And a Smile,
Dean Martin,A Winter Romance,
Johnny Reid,A Woman Like You,
Lee Brice,A Woman Like You,
Alan Jackson,A Woman's Love,
Toby Keith,A Woman's Touch,
Alicia Keys,A Woman's Worth,
Triumph,A World of Fantasy,
Triumph,A World of Fantasy,
Peter & Gordon,A World Without Love,
Selena Gomez & The Scene,A Year Without Rain [Alias Radio Edit],
The Beach Boys,A Young Man is Gone,
Goldfrapp,A&E [Gui Boratto Remix],
Eminem,A** Like That,
Vampire Weekend,A-Punk,
Mike Post & Pete Carpenter,The A-Team,
Ella Fitzgerald,A-Tisket A-Tasket,
Aashna,A-Ya,
